//0
//Oxygen, 1.045
//Nitrate, 1,1,-2.24,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		964.00	0	2.5320	0	34.5710	0	27.584	0	177.23	0	52.66	0		8	0.02	0	0.000109	0	2.16	0	29.5440	8	27.4576	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		962.00	0	2.5320	0	34.5690	0	27.583	0	177.13	0	52.63	0		8	0.03	0	0.000108	0	2.20	0	29.5426	8	27.4562	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		960.00	0	2.5330	0	34.5680	0	27.582	0	177.13	0	52.63	0		8	0.02	0	0.000109	0	2.18	0	29.5384	8	27.4523	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		958.00	0	2.5350	0	34.5670	0	27.581	0	177.13	0	52.63	0		8	0.03	0	0.000148	0	2.17	0	29.5353	8	27.4494	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		956.00	0	2.5360	0	34.5670	0	27.581	0	177.13	0	52.63	0		8	0.02	0	0.000108	0	2.15	0	29.5349	8	27.4490	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		954.00	0	2.5370	0	34.5660	0	27.580	0	177.13	0	52.64	0		8	0.02	0	0.000108	0	2.16	0	29.5327	8	27.4469	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		952.00	0	2.5380	0	34.5630	0	27.577	0	177.13	0	52.64	0	34.54	0	0.02	0	0.000109	0	2.12	0	29.5314	8	27.4457	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		950.00	0	2.5370	0	34.5620	0	27.577	0	177.13	0	52.63	0		8	0.02	0	0.000108	0	2.14	0	29.5293	8	27.4437	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		948.00	0	2.5370	0	34.5610	0	27.576	0	177.13	0	52.63	0		8	0.02	0	0.000106	0	2.14	0	29.5251	8	27.4398	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		946.00	0	2.5370	0	34.5600	0	27.575	0	177.13	0	52.63	0		8	0.02	0	0.000111	0	2.13	0	29.5230	8	27.4378	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		944.00	0	2.5380	0	34.5600	0	27.575	0	177.13	0	52.63	0		8	0.02	0	0.000112	0	2.13	0	29.5230	8	27.4377	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		942.00	0	2.5390	0	34.5600	0	27.575	0	177.13	0	52.64	0		8	0.03	0	0.000108	0	2.13	0	29.5215	8	27.4363	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		940.00	0	2.5390	0	34.5600	0	27.575	0	177.13	0	52.64	0		8	0.02	0	0.000114	0	2.14	0	29.5193	8	27.4342	8
