//0																															
//Oxygen, 1.02
//Nitrate, 1,1,-0.25,0
//pH, 1, -0.15, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0511SoOcn	1	C	12/18/2014	16:32				960	0	0.473	0	34.678	0	27.82	0	213.79	0	60.31	0		8	0.03	0	0.000096	0	2.42	0	7.9110	0	7.6132	0
0511SoOcn	1	C	12/18/2014	16:32				958	0	0.474	0	34.678	0	27.82	0	213.69	0	60.28	0		8	0.02	0	0.000096	0	2.41	0	7.9106	0	7.6128	0
0511SoOcn	1	C	12/18/2014	16:32				956	0	0.475	0	34.679	0	27.82	0	213.69	0	60.29	0		8	0.02	0	0.000095	0	2.4	0	7.9103	0	7.6125	0
0511SoOcn	1	C	12/18/2014	16:32				954	0	0.475	0	34.679	0	27.82	0	213.59	0	60.26	0		8	0.02	0	0.000096	0	2.39	0	7.9099	0	7.6121	0
0511SoOcn	1	C	12/18/2014	16:32				952	0	0.475	0	34.679	0	27.82	0	213.59	0	60.26	0	32.35	8	0.02	0	0.000095	0	2.39	0	7.9097	0	7.6118	0
0511SoOcn	1	C	12/18/2014	16:32				950	0	0.477	0	34.679	0	27.82	0	213.59	0	60.26	0		8	0.02	0	0.000096	0	2.39	0	7.9090	0	7.6111	0
0511SoOcn	1	C	12/18/2014	16:32				948	0	0.478	0	34.679	0	27.82	0	213.59	0	60.26	0		8	0.02	0	0.000096	0	2.39	0	7.9090	0	7.6111	0
0511SoOcn	1	C	12/18/2014	16:32				946	0	0.478	0	34.679	0	27.82	0	213.59	0	60.26	0		8	0.02	0	0.000095	0	2.43	0	7.9099	0	7.6118	0
0511SoOcn	1	C	12/18/2014	16:32				944	0	0.479	0	34.679	0	27.82	0	213.59	0	60.26	0		8	0.02	0	0.000096	0	2.42	0	7.9093	0	7.6112	0
0511SoOcn	1	C	12/18/2014	16:32				942	0	0.479	0	34.679	0	27.82	0	213.49	0	60.23	0		8	0.02	0	0.000095	0	2.42	0	7.9092	0	7.6111	0
0511SoOcn	1	C	12/18/2014	16:32				940	0	0.481	0	34.679	0	27.82	0	213.49	0	60.24	0		8	0.02	0	0.000095	0	2.38	0	7.9088	0	7.6107	0
0511SoOcn	1	C	12/18/2014	16:32				938	0	0.482	0	34.679	0	27.82	0	213.38	0	60.21	0		8	0.02	0	0.000096	0	2.4	0	7.9085	0	7.6103	0
0511SoOcn	1	C	12/18/2014	16:32				936	0	0.483	0	34.679	0	27.82	0	213.28	0	60.18	0		8	0.02	0	0.000095	0	2.41	0	7.9086	0	7.6104	0
0511SoOcn	1	C	12/18/2014	16:32				934	0	0.484	0	34.679	0	27.82	0	213.38	0	60.21	0		8	0.02	0	0.000095	0	2.43	0	7.9084	0	7.6102	0
0511SoOcn	1	C	12/18/2014	16:32				932	0	0.485	0	34.679	0	27.82	0	213.18	0	60.16	0		8	0.02	0	0.000096	0	2.39	0	7.9082	0	7.6099	0
0511SoOcn	1	C	12/18/2014	16:32				930	0	0.486	0	34.679	0	27.82	0	213.08	0	60.13	0		8	0.02	0	0.000095	0	2.41	0	7.9081	0	7.6098	0
0511SoOcn	1	C	12/18/2014	16:32				928	0	0.487	0	34.679	0	27.82	0	213.08	0	60.13	0		8	0.02	0	0.000095	0	2.41	0	7.9076	0	7.6092	0
0511SoOcn	1	C	12/18/2014	16:32				926	0	0.487	0	34.679	0	27.82	0	212.98	0	60.10	0		8	0.02	0	0.000095	0	2.39	0	7.9073	0	7.6089	0
0511SoOcn	1	C	12/18/2014	16:32				924	0	0.488	0	34.679	0	27.82	0	212.87	0	60.08	0		8	0.02	0	0.000096	0	2.39	0	7.9072	0	7.6088	0
0511SoOcn	1	C	12/18/2014	16:32				922	0	0.49	0	34.679	0	27.82	0	212.87	0	60.08	0		8	0.02	0	0.000095	0	2.41	0	7.9076	0	7.6091	0
0511SoOcn	1	C	12/18/2014	16:32				920	0	0.491	0	34.679	0	27.819	0	212.87	0	60.08	0		8	0.02	0	0.000095	0	2.4	0	7.9069	0	7.6085	0
0511SoOcn	1	C	12/18/2014	16:32				918	0	0.493	0	34.68	0	27.82	0	212.87	0	60.08	0		8	0.02	0	0.000095	0	2.39	0	7.9074	0	7.6088	0
0511SoOcn	1	C	12/18/2014	16:32				916	0	0.494	0	34.68	0	27.82	0	212.77	0	60.06	0		8	0.02	0	0.000095	0	2.4	0	7.9070	0	7.6084	0
0511SoOcn	1	C	12/18/2014	16:32				914	0	0.495	0	34.68	0	27.82	0	212.77	0	60.06	0		8	0.02	0	0.000095	0	2.39	0	7.9076	0	7.6089	0
0511SoOcn	1	C	12/18/2014	16:32				912	0	0.496	0	34.68	0	27.82	0	212.87	0	60.09	0		8	0.02	0	0.000096	0	2.42	0	7.9069	0	7.6082	0
0511SoOcn	1	C	12/18/2014	16:32				910	0	0.497	0	34.68	0	27.82	0	212.87	0	60.09	0		8	0.02	0	0.000096	0	2.41	0	7.9071	0	7.6083	0
0511SoOcn	1	C	12/18/2014	16:32				908	0	0.499	0	34.68	0	27.82	0	212.87	0	60.09	0		8	0.02	0	0.000096	0	2.4	0	7.9076	0	7.6088	0
0511SoOcn	1	C	12/18/2014	16:32				906	0	0.499	0	34.68	0	27.82	0	212.87	0	60.09	0		8	0.02	0	0.000096	0	2.39	0	7.9075	0	7.6086	0
0511SoOcn	1	C	12/18/2014	16:32				904	0	0.5	0	34.68	0	27.82	0	212.87	0	60.09	0		8	0.02	0	0.000097	0	2.39	0	7.9080	0	7.6090	0
0511SoOcn	1	C	12/18/2014	16:32				902	0	0.5	0	34.68	0	27.82	0	212.98	0	60.12	0	32.25	8	0.02	0	0.000096	0	2.41	0	7.9086	0	7.6095	0
0511SoOcn	1	C	12/18/2014	16:32				900	0	0.501	0	34.68	0	27.82	0	212.98	0	60.13	0		8	0.02	0	0.000096	0	2.4	0	7.9084	0	7.6092	0
0511SoOcn	1	C	12/18/2014	16:32				898	0	0.501	0	34.68	0	27.82	0	212.98	0	60.13	0		8	0.02	0	0.000097	0	2.39	0	7.9083	0	7.6091	0
0511SoOcn	1	C	12/18/2014	16:32				896	0	0.503	0	34.68	0	27.82	0	212.98	0	60.13	0		8	0.03	0	0.000095	0	2.4	0	7.9079	0	7.6088	0
0511SoOcn	1	C	12/18/2014	16:32				894	0	0.505	0	34.68	0	27.819	0	212.87	0	60.10	0		8	0.02	0	0.000096	0	2.42	0	7.9080	0	7.6088	0
0511SoOcn	1	C	12/18/2014	16:32				892	0	0.506	0	34.68	0	27.819	0	212.87	0	60.10	0		8	0.03	0	0.000095	0	2.4	0	7.9073	0	7.6081	0
0511SoOcn	1	C	12/18/2014	16:32				890	0	0.506	0	34.68	0	27.819	0	212.87	0	60.10	0		8	0.02	0	0.000096	0	2.39	0	7.9070	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				888	0	0.507	0	34.68	0	27.819	0	212.87	0	60.11	0		8	0.02	0	0.000096	0	2.39	0	7.9069	0	7.6076	0
0511SoOcn	1	C	12/18/2014	16:32				886	0	0.509	0	34.68	0	27.819	0	212.77	0	60.08	0		8	0.02	0	0.000095	0	2.39	0	7.9068	0	7.6074	0
0511SoOcn	1	C	12/18/2014	16:32				884	0	0.51	0	34.68	0	27.819	0	212.67	0	60.05	0		8	0.02	0	0.000097	0	2.39	0	7.9072	0	7.6078	0
0511SoOcn	1	C	12/18/2014	16:32				882.1	0	0.511	0	34.68	0	27.819	0	212.57	0	60.03	0		8	0.02	0	0.000096	0	2.41	0	7.9072	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				880.1	0	0.512	0	34.68	0	27.819	0	212.67	0	60.06	0		8	0.02	0	0.000097	0	2.41	0	7.9072	0	7.6076	0
0511SoOcn	1	C	12/18/2014	16:32				878	0	0.514	0	34.68	0	27.819	0	212.36	0	59.97	0		8	0.02	0	0.000096	0	2.4	0	7.9069	0	7.6073	0
0511SoOcn	1	C	12/18/2014	16:32				876	0	0.516	0	34.68	0	27.819	0	212.36	0	59.98	0		8	0.02	0	0.000097	0	2.39	0	7.9073	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				874	0	0.516	0	34.68	0	27.819	0	212.26	0	59.95	0		8	0.02	0	0.000096	0	2.41	0	7.9069	0	7.6072	0
0511SoOcn	1	C	12/18/2014	16:32				872	0	0.517	0	34.68	0	27.819	0	212.26	0	59.95	0		8	0.02	0	0.000096	0	2.39	0	7.9071	0	7.6073	0
0511SoOcn	1	C	12/18/2014	16:32				870	0	0.517	0	34.68	0	27.819	0	212.16	0	59.92	0		8	0.03	0	0.000096	0	2.39	0	7.9073	0	7.6075	0
0511SoOcn	1	C	12/18/2014	16:32				868	0	0.52	0	34.68	0	27.819	0	212.06	0	59.90	0		8	0.02	0	0.000096	0	2.4	0	7.9077	0	7.6078	0
0511SoOcn	1	C	12/18/2014	16:32				866	0	0.522	0	34.68	0	27.818	0	212.06	0	59.90	0		8	0.02	0	0.000097	0	2.42	0	7.9073	0	7.6074	0
0511SoOcn	1	C	12/18/2014	16:32				864	0	0.523	0	34.68	0	27.818	0	212.06	0	59.90	0		8	0.02	0	0.000096	0	2.39	0	7.9076	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				862	0	0.525	0	34.681	0	27.819	0	212.06	0	59.90	0		8	0.02	0	0.000098	0	2.42	0	7.9072	0	7.6072	0
0511SoOcn	1	C	12/18/2014	16:32				860	0	0.526	0	34.681	0	27.819	0	212.06	0	59.91	0		8	0.02	0	0.000096	0	2.42	0	7.9075	0	7.6075	0
0511SoOcn	1	C	12/18/2014	16:32				858	0	0.529	0	34.681	0	27.819	0	212.06	0	59.91	0		8	0.02	0	0.000096	0	2.41	0	7.9076	0	7.6076	0
0511SoOcn	1	C	12/18/2014	16:32				856	0	0.531	0	34.681	0	27.819	0	212.16	0	59.94	0		8	0.02	0	0.000096	0	2.39	0	7.9079	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				854	0	0.532	0	34.681	0	27.819	0	212.16	0	59.94	0		8	0.03	0	0.000096	0	2.41	0	7.9082	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				852	0	0.532	0	34.681	0	27.819	0	212.16	0	59.94	0	32.15	8	0.02	0	0.000097	0	2.42	0	7.9083	0	7.6081	0
0511SoOcn	1	C	12/18/2014	16:32				850	0	0.533	0	34.681	0	27.819	0	212.16	0	59.95	0		8	0.02	0	0.000096	0	2.43	0	7.9087	0	7.6083	0
0511SoOcn	1	C	12/18/2014	16:32				848	0	0.535	0	34.681	0	27.818	0	212.16	0	59.95	0		8	0.02	0	0.000096	0	2.42	0	7.9085	0	7.6081	0
0511SoOcn	1	C	12/18/2014	16:32				846	0	0.537	0	34.681	0	27.818	0	212.06	0	59.92	0		8	0.02	0	0.000096	0	2.41	0	7.9081	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				844	0	0.539	0	34.681	0	27.818	0	212.06	0	59.93	0		8	0.02	0	0.000096	0	2.4	0	7.9086	0	7.6081	0
0511SoOcn	1	C	12/18/2014	16:32				842	0	0.539	0	34.681	0	27.818	0	211.96	0	59.90	0		8	0.02	0	0.000095	0	2.41	0	7.9088	0	7.6083	0
0511SoOcn	1	C	12/18/2014	16:32				840	0	0.54	0	34.681	0	27.818	0	211.96	0	59.90	0		8	0.02	0	0.000096	0	2.41	0	7.9081	0	7.6076	0
0511SoOcn	1	C	12/18/2014	16:32				838	0	0.541	0	34.681	0	27.818	0	211.85	0	59.87	0		8	0.02	0	0.000096	0	2.39	0	7.9083	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				836	0	0.542	0	34.681	0	27.818	0	211.85	0	59.87	0		8	0.02	0	0.000097	0	2.41	0	7.9087	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				834	0	0.542	0	34.681	0	27.818	0	211.85	0	59.87	0		8	0.02	0	0.000096	0	2.37	0	7.9085	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				832	0	0.544	0	34.681	0	27.818	0	211.75	0	59.85	0		8	0.02	0	0.000096	0	2.42	0	7.9086	0	7.6078	0
0511SoOcn	1	C	12/18/2014	16:32				830	0	0.545	0	34.681	0	27.818	0	211.65	0	59.82	0		8	0.02	0	0.000098	0	2.39	0	7.9083	0	7.6075	0
0511SoOcn	1	C	12/18/2014	16:32				828	0	0.546	0	34.681	0	27.818	0	211.65	0	59.82	0		8	0.02	0	0.000097	0	2.39	0	7.9082	0	7.6073	0
0511SoOcn	1	C	12/18/2014	16:32				826	0	0.547	0	34.681	0	27.818	0	211.65	0	59.82	0		8	0.02	0	0.0001	0	2.39	0	7.9084	0	7.6075	0
0511SoOcn	1	C	12/18/2014	16:32				824	0	0.548	0	34.681	0	27.818	0	211.55	0	59.80	0		8	0.02	0	0.000097	0	2.42	0	7.9082	0	7.6073	0
0511SoOcn	1	C	12/18/2014	16:32				822	0	0.549	0	34.681	0	27.818	0	211.65	0	59.83	0		8	0.02	0	0.000097	0	2.4	0	7.9088	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				820	0	0.55	0	34.681	0	27.818	0	211.65	0	59.83	0		8	0.02	0	0.000096	0	2.4	0	7.9091	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				818	0	0.552	0	34.682	0	27.818	0	211.65	0	59.83	0		8	0.02	0	0.000096	0	2.42	0	7.9089	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				816	0	0.554	0	34.682	0	27.818	0	211.65	0	59.83	0		8	0.02	0	0.000096	0	2.4	0	7.9090	0	7.6078	0
0511SoOcn	1	C	12/18/2014	16:32				814	0	0.555	0	34.682	0	27.818	0	211.65	0	59.84	0		8	0.03	0	0.000097	0	2.41	0	7.9090	0	7.6077	0
0511SoOcn	1	C	12/18/2014	16:32				812	0	0.556	0	34.682	0	27.818	0	211.65	0	59.84	0		8	0.02	0	0.000096	0	2.42	0	7.9089	0	7.6076	0
