//0																									
//Oxygen, 1.16
//Nitrate, 1,1,5,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		951.42	0	3.0991	0	34.3831	0	27.34	0	190.59	0	57.36	0	32.51	0	0.01	0	0.000139	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		900.99	0	3.13	0	34.335	0	27.298	0	199.06	0	59.94	0	32.36	0	0	0	0.000134	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		850.87	0	3.4138	0	34.3359	0	27.269	0	199.06	0	60.36	0	31.83	0	0.01	0	0.000141	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		801.32	0	3.5884	0	34.3135	0	27.232	0	206.36	0	62.84	0	31.10	0	0	0	0.000139	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		750.77	0	3.7442	0	34.2744	0	27.183	0	214.14	0	65.44	0	30.25	0	0	0	0.000143	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		700.59	0	4.0224	0	34.233	0	27.119	0	223.30	0	68.69	0	29.02	0	0	0	0.000141	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		651.6	0	4.2641	0	34.2272	0	27.087	0	231.88	0	71.74	0	28.23	0	0	0	0.000143	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		599.48	0	4.2722	0	34.1763	0	27.044	0	251.02	0	77.66	0	26.88	0	0.01	0	0.000141	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		551.48	0	4.4208	0	34.1602	0	27.014	0	267.61	0	83.08	0	25.21	0	0	0	0.000143	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		501.38	0	5.0214	0	34.2105	0	26.984	0	273.06	0	86.03	0	23.78	0	0	0	0.000161	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		451.14	0	5.1652	0	34.2116	0	26.967	0	286.40	0	90.55	0	23.10	0	0	0	0.000154	0
6968SoOcn	1	C	3/6/2012	1:44	178.065	-49.935		400.62	0	5.6325	0	34.2627	0	26.951	0	261.35	0	83.58	0	24.01	0	0.01	0	0.000145	0
